"Parameter"|"Parameter.Name"
16771|"Butyl_benzyl_phthalate__(TSP)_STP"
45232|"Butylbenzene"
43510|"Butyraldehyde"
43329|"Butyraldehyde_&_isobutyraldehyde"
17131|"C2_Alkylbenzenes"
16128|"C4-C9_Alkenes"
65332|"Cadmium_(precip)"
22110|"Cadmium_(SP)"
14110|"Cadmium_(TSP)_LC"
12110|"Cadmium_(TSP)_STP"
85110|"Cadmium_PM10_LC"
82110|"Cadmium_PM10_STP"
86110|"Cadmium_PM10-2.5_LC"
83110|"Cadmium_PM10-2.5_STP"
88110|"Cadmium_PM2.5_LC"
84110|"Cadmium_PM2.5_STP"
65314|"Calcium_(precip)"
22111|"Calcium_(SP)"
14111|"Calcium_(TSP)_LC"
12111|"Calcium_(TSP)_STP"
85111|"Calcium_PM10_LC"
82111|"Calcium_PM10_STP"
86111|"Calcium_PM10-2.5_LC"
83111|"Calcium_PM10-2.5_STP"
88111|"Calcium_PM2.5_LC"
84111|"Calcium_PM2.5_STP"
16772|"Carbazole_(TSP)_STP"
16111|"Carbon_black_(TSP)"
42102|"Carbon_dioxide"
42153|"Carbon_disulfide"
42101|"Carbon_monoxide"
43804|"Carbon_tetrachloride"
43827|"Carbon_Tetrafluoride"
88308|"Carbonate_Carbon_CSN_PM2.5_LC_TOT"
43500|"Carbonyls"
16320|"Cellulose_(TSP)"
12117|"Cerium_(TSP)_STP"
85117|"Cerium_Pm10_Lc"
86117|"Cerium_PM10-2.5_LC"
88117|"Cerium_PM2.5_LC"
12118|"Cesium_(TSP)_STP"
85118|"Cesium_Pm10_Lc"
86118|"Cesium_PM10-2.5_LC"
88118|"Cesium_PM2.5_LC"
65316|"Chloride_(precip)"
12203|"Chloride_(TSP)_STP"
82203|"Chloride_PM10_STP"
88203|"Chloride_PM2.5_LC"
84203|"Chloride_PM2.5_STP"
22203|"Chloride(SP)"
42215|"Chlorine"
13115|"Chlorine_(TSP)"
12191|"Chlorine_(TSP)_STP"
85115|"Chlorine_PM10_LC"
82115|"Chlorine_PM10_STP"
86115|"Chlorine_PM10-2.5_LC"
83115|"Chlorine_PM10-2.5_STP"
88115|"Chlorine_PM2.5_LC"
84115|"Chlorine_PM2.5_STP"
45801|"Chlorobenzene"
16773|"Chlorobenzilate__(TSP)_STP"
43359|"Chlorodifluoromethane"
43812|"Chloroethane"
43803|"Chloroform"
43801|"Chloromethane"
43835|"Chloroprene"
65112|"Chromium_(Precip)"
22112|"Chromium_(SP)"
14112|"Chromium_(TSP)_LC"
12112|"Chromium_(TSP)_STP"
11345|"Chromium_-_50_(TSP)"
11346|"Chromium_-_52_(TSP)"
11347|"Chromium_-_53_(TSP)"
85112|"Chromium_PM10_LC"
82112|"Chromium_PM10_STP"
86112|"Chromium_PM10-2.5_LC"
83112|"Chromium_PM10-2.5_STP"
88112|"Chromium_PM2.5_LC"
84112|"Chromium_PM2.5_STP"
14115|"Chromium_VI_(TSP)_LC"
12115|"Chromium_VI_(TSP)_STP"
85119|"Chromium_VI_PM10_LC"
82119|"Chromium_VI_PM10_STP"
88119|"Chromium_VI_PM2.5_LC"
17208|"Chrysene_(TSP)_STP"
43839|"cis-1,2-Dichloroethene"
43393|"cis-1,2-Dimethylcyclopentane"
43831|"cis-1,3-Dichloropropene"
43217|"cis-2-Butene"
43290|"cis-2-Hexene"
43227|"cis-2-Pentene"
43349|"cis-2-Pentene_&_2-methylpentane"
43254|"cis-3-Hexene"
43286|"cis-4-Methyl-2-pentene"
43520|"cis-Crotonaldehyde"
43148|"cis/trans-2-Butene"
43149|"cis/trans-2-Hexene"
43150|"cis/trans-2-Pentene"
66101|"Cloud_cover"
88342|"Coarse_Mass_Extinction_PM2.5_LC"
65113|"Cobalt_(precip)"
14113|"Cobalt_(TSP)_LC"
12113|"Cobalt_(TSP)_STP"
11348|"Cobalt_-_59_(TSP)"
85113|"Cobalt_PM10_LC"
82113|"Cobalt_PM10_STP"
86113|"Cobalt_PM10-2.5_LC"
83113|"Cobalt_PM10-2.5_STP"
88113|"Cobalt_PM2.5_LC"
84113|"Cobalt_PM2.5_STP"
25303|"Conductance_(SP)"
65303|"Conductivity_(precip)"
22114|"Copper_(SP)"
12114|"Copper_(TSP)_STP"
11349|"Copper_-_63_(TSP)"
85114|"Copper_PM10_LC"
82114|"Copper_PM10_STP"
86114|"Copper_PM10-2.5_LC"
83114|"Copper_PM10-2.5_STP"
88114|"Copper_PM2.5_LC"
84114|"Copper_PM2.5_STP"
65333|"Copper(precip)"
14114|"Copper(TSP)_LC"
17211|"Coronene_(TSP)_STP"
11122|"Cristabalite"
43528|"Crotonaldehyde"
11121|"Crystalline_quartz"
43248|"Cyclohexane"
43269|"Cyclohexene"
43242|"Cyclopentane"
43171|"Cyclopentane_&_2,3-dimethylbutane"
17160|"Cyclopenta[cd]pyrene_(TSP)_STP"
43283|"Cyclopentene"
43251|"Cyclopropane"
17907|"D-limonene"
43156|"Dacthal"
17818|"Decachlorobiphenyl_(TSP)_STP"
